Attack,Method,Avg Threshold,Std Threshold,Avg LPIPS,Std LPIPS
crop,dwtDct,0.9,0.0,0.164,0.031
crop,dwtDctSvd,0.9,0.0,0.174,0.039
crop,rivaGan,0.729,0.103,0.373,0.135
decrease_brightness,dwtDct,0.7,0.1,0.066,0.023
decrease_brightness,dwtDctSvd,0.787,0.05,0.033,0.022
decrease_brightness,rivaGan,0.386,0.16,0.249,0.124
increase_brightness,dwtDct,1.2,0.0,0.028,0.012
increase_brightness,dwtDctSvd,1.24,0.08,0.038,0.025
increase_brightness,rivaGan,1.9,0.539,0.23,0.135
jpeg,dwtDct,100.0,0.0,0.001,0.0
jpeg,dwtDctSvd,65.333,18.571,0.008,0.007
jpeg,rivaGan,51.429,19.588,0.013,0.009
mask,dwtDct,0.25,0.087,0.324,0.105
mask,dwtDctSvd,0.297,0.012,0.383,0.067
mask,rivaGan,0.657,0.234,0.7,0.215
noise,dwtDct,7.5,4.33,0.021,0.021
noise,dwtDctSvd,17.667,3.091,0.107,0.073
noise,rivaGan,24.286,7.986,0.152,0.077
overlay,dwtDct,0.25,0.15,0.177,0.146
overlay,dwtDctSvd,0.14,0.08,0.071,0.059
overlay,rivaGan,0.529,0.144,0.355,0.159
resize,dwtDct,0.92,0.04,0.007,0.005
resize,dwtDctSvd,0.28,0.122,0.176,0.128
resize,rivaGan,0.157,0.082,0.338,0.153
rotate,dwtDct,2.0,0.0,0.056,0.019
rotate,dwtDctSvd,2.0,0.0,0.064,0.021
rotate,rivaGan,13.286,4.25,0.318,0.093
